site_no,gage_name,Date,year,month,day,cfs
08170000,San Marcos Springs,1957-01-21,1957,1,21,77
08170000,San Marcos Springs,1957-01-22,1957,1,22,77
08170000,San Marcos Springs,1957-01-23,1957,1,23,74
08170000,San Marcos Springs,1957-01-24,1957,1,24,72
08170000,San Marcos Springs,1957-01-25,1957,1,25,69
08170000,San Marcos Springs,1957-01-26,1957,1,26,69
08170000,San Marcos Springs,1957-01-27,1957,1,27,69
08170000,San Marcos Springs,1957-01-28,1957,1,28,72
08170000,San Marcos Springs,1957-01-29,1957,1,29,72
08170000,San Marcos Springs,1957-01-30,1957,1,30,69
08170000,San Marcos Springs,1957-01-31,1957,1,31,69
08170000,San Marcos Springs,1957-02-01,1957,2,1,68
08170000,San Marcos Springs,1957-02-02,1957,2,2,72
08170000,San Marcos Springs,1957-02-03,1957,2,3,70
08170000,San Marcos Springs,1957-02-04,1957,2,4,70
08170000,San Marcos Springs,1957-02-05,1957,2,5,70
08170000,San Marcos Springs,1957-02-06,1957,2,6,70
08170000,San Marcos Springs,1957-02-07,1957,2,7,70
08170000,San Marcos Springs,1957-02-08,1957,2,8,70
08170000,San Marcos Springs,1957-02-09,1957,2,9,65
08170000,San Marcos Springs,1957-02-10,1957,2,10,65
08170000,San Marcos Springs,1957-02-11,1957,2,11,70
08170000,San Marcos Springs,1957-02-12,1957,2,12,70
08170000,San Marcos Springs,1957-02-13,1957,2,13,70
08170000,San Marcos Springs,1957-02-14,1957,2,14,70
08170000,San Marcos Springs,1957-02-15,1957,2,15,70
08170000,San Marcos Springs,1957-02-16,1957,2,16,70
08170000,San Marcos Springs,1957-02-17,1957,2,17,70
08170000,San Marcos Springs,1957-02-18,1957,2,18,70
08170000,San Marcos Springs,1957-02-19,1957,2,19,70
08170000,San Marcos Springs,1957-02-20,1957,2,20,70
08170000,San Marcos Springs,1957-02-21,1957,2,21,70
08170000,San Marcos Springs,1957-02-22,1957,2,22,70
08170000,San Marcos Springs,1957-02-23,1957,2,23,70
08170000,San Marcos Springs,1957-02-24,1957,2,24,75
08170000,San Marcos Springs,1957-02-25,1957,2,25,80
08170000,San Marcos Springs,1957-02-26,1957,2,26,85
08170000,San Marcos Springs,1957-02-27,1957,2,27,85
08170000,San Marcos Springs,1957-02-28,1957,2,28,85
08170000,San Marcos Springs,1957-03-01,1957,3,1,85
08170000,San Marcos Springs,1957-03-02,1957,3,2,85
08170000,San Marcos Springs,1957-03-03,1957,3,3,85
08170000,San Marcos Springs,1957-03-04,1957,3,4,85
08170000,San Marcos Springs,1957-03-05,1957,3,5,88
08170000,San Marcos Springs,1957-03-06,1957,3,6,82
08170000,San Marcos Springs,1957-03-07,1957,3,7,82
08170000,San Marcos Springs,1957-03-08,1957,3,8,85
08170000,San Marcos Springs,1957-03-09,1957,3,9,85
08170000,San Marcos Springs,1957-03-10,1957,3,10,85
08170000,San Marcos Springs,1957-03-11,1957,3,11,85
08170000,San Marcos Springs,1957-03-12,1957,3,12,88
08170000,San Marcos Springs,1957-03-13,1957,3,13,88
08170000,San Marcos Springs,1957-03-14,1957,3,14,85
08170000,San Marcos Springs,1957-03-15,1957,3,15,85
08170000,San Marcos Springs,1957-03-16,1957,3,16,85
08170000,San Marcos Springs,1957-03-17,1957,3,17,82
08170000,San Marcos Springs,1957-03-18,1957,3,18,85
08170000,San Marcos Springs,1957-03-19,1957,3,19,85
08170000,San Marcos Springs,1957-03-20,1957,3,20,85
08170000,San Marcos Springs,1957-03-21,1957,3,21,85
08170000,San Marcos Springs,1957-03-22,1957,3,22,100
08170000,San Marcos Springs,1957-03-23,1957,3,23,112
08170000,San Marcos Springs,1957-03-24,1957,3,24,112
08170000,San Marcos Springs,1957-03-25,1957,3,25,109
08170000,San Marcos Springs,1957-03-26,1957,3,26,109
08170000,San Marcos Springs,1957-03-27,1957,3,27,106
08170000,San Marcos Springs,1957-03-28,1957,3,28,106
08170000,San Marcos Springs,1957-03-29,1957,3,29,106
08170000,San Marcos Springs,1957-03-30,1957,3,30,109
08170000,San Marcos Springs,1957-03-31,1957,3,31,109
08170000,San Marcos Springs,1957-04-01,1957,4,1,109
08170000,San Marcos Springs,1957-04-02,1957,4,2,115
08170000,San Marcos Springs,1957-04-03,1957,4,3,112
08170000,San Marcos Springs,1957-04-04,1957,4,4,112
08170000,San Marcos Springs,1957-04-05,1957,4,5,112
08170000,San Marcos Springs,1957-04-06,1957,4,6,106
08170000,San Marcos Springs,1957-04-07,1957,4,7,109
08170000,San Marcos Springs,1957-04-08,1957,4,8,109
08170000,San Marcos Springs,1957-04-09,1957,4,9,106
08170000,San Marcos Springs,1957-04-10,1957,4,10,106
08170000,San Marcos Springs,1957-04-11,1957,4,11,106
08170000,San Marcos Springs,1957-04-12,1957,4,12,103
08170000,San Marcos Springs,1957-04-13,1957,4,13,106
08170000,San Marcos Springs,1957-04-14,1957,4,14,106
08170000,San Marcos Springs,1957-04-15,1957,4,15,109
08170000,San Marcos Springs,1957-04-16,1957,4,16,109
08170000,San Marcos Springs,1957-04-17,1957,4,17,109
08170000,San Marcos Springs,1957-04-18,1957,4,18,103
08170000,San Marcos Springs,1957-04-19,1957,4,19,106
08170000,San Marcos Springs,1957-04-20,1957,4,20,112
08170000,San Marcos Springs,1957-04-21,1957,4,21,115
08170000,San Marcos Springs,1957-04-22,1957,4,22,118
08170000,San Marcos Springs,1957-04-23,1957,4,23,128
08170000,San Marcos Springs,1957-04-24,1957,4,24,142
08170000,San Marcos Springs,1957-04-25,1957,4,25,146
08170000,San Marcos Springs,1957-04-26,1957,4,26,153
08170000,San Marcos Springs,1957-04-27,1957,4,27,185
08170000,San Marcos Springs,1957-04-28,1957,4,28,231
08170000,San Marcos Springs,1957-04-29,1957,4,29,240
08170000,San Marcos Springs,1957-04-30,1957,4,30,240
08170000,San Marcos Springs,1957-05-01,1957,5,1,240
08170000,San Marcos Springs,1957-05-02,1957,5,2,240
08170000,San Marcos Springs,1957-05-03,1957,5,3,240
08170000,San Marcos Springs,1957-05-04,1957,5,4,222
08170000,San Marcos Springs,1957-05-05,1957,5,5,222
08170000,San Marcos Springs,1957-05-06,1957,5,6,218
08170000,San Marcos Springs,1957-05-07,1957,5,7,218
08170000,San Marcos Springs,1957-05-08,1957,5,8,213
08170000,San Marcos Springs,1957-05-09,1957,5,9,213
08170000,San Marcos Springs,1957-05-10,1957,5,10,213
08170000,San Marcos Springs,1957-05-11,1957,5,11,209
08170000,San Marcos Springs,1957-05-12,1957,5,12,209
08170000,San Marcos Springs,1957-05-13,1957,5,13,205
08170000,San Marcos Springs,1957-05-14,1957,5,14,201
08170000,San Marcos Springs,1957-05-15,1957,5,15,197
08170000,San Marcos Springs,1957-05-16,1957,5,16,197
08170000,San Marcos Springs,1957-05-17,1957,5,17,189
08170000,San Marcos Springs,1957-05-18,1957,5,18,189
08170000,San Marcos Springs,1957-05-19,1957,5,19,193
08170000,San Marcos Springs,1957-05-20,1957,5,20,197
08170000,San Marcos Springs,1957-05-21,1957,5,21,189
08170000,San Marcos Springs,1957-05-22,1957,5,22,189
08170000,San Marcos Springs,1957-05-23,1957,5,23,189
08170000,San Marcos Springs,1957-05-24,1957,5,24,185
08170000,San Marcos Springs,1957-05-25,1957,5,25,181
08170000,San Marcos Springs,1957-05-26,1957,5,26,181
08170000,San Marcos Springs,1957-05-27,1957,5,27,181
08170000,San Marcos Springs,1957-05-28,1957,5,28,181
08170000,San Marcos Springs,1957-05-29,1957,5,29,181
