date,val,site
2024-01-26,199,Comal
2024-01-25,185,Comal
2024-01-24,174,Comal
2024-01-23,162,Comal
2024-01-22,150,Comal
2024-01-21,139,Comal
2024-01-20,137,Comal
2024-01-19,136,Comal
2024-01-18,134,Comal
2024-01-17,133,Comal
2024-01-16,136,Comal
2024-01-15,135,Comal
2024-01-14,135,Comal
2024-01-13,136,Comal
2024-01-12,137,Comal
2024-01-11,138,Comal
2024-01-10,139,Comal
2024-01-09,139,Comal
2024-01-08,142,Comal
2024-01-07,141,Comal
2024-01-06,142,Comal
2024-01-05,142,Comal
2024-01-04,143,Comal
2024-01-03,141,Comal
2024-01-02,139,Comal
2024-01-01,133,Comal
2023-12-31,133,Comal
2023-12-30,133,Comal
2023-12-29,132,Comal
2023-12-28,132,Comal
2023-12-27,132,Comal
2023-12-26,133,Comal
2023-12-25,135,Comal
2023-12-24,133,Comal
2023-12-23,131,Comal
2023-12-22,129,Comal
2023-12-21,129,Comal
2023-12-20,129,Comal
2023-12-19,128,Comal
2023-12-18,128,Comal
2023-12-17,128,Comal
2023-12-16,130,Comal
2023-12-15,131,Comal
2023-12-14,129,Comal
2023-12-13,131,Comal
2023-12-12,130,Comal
2023-12-11,131,Comal
2023-12-10,130,Comal
2023-12-09,130,Comal
2023-12-08,130,Comal
2023-12-07,129,Comal
2023-12-06,129,Comal
2023-12-05,127,Comal
2023-12-04,126,Comal
2023-12-03,126,Comal
2023-12-02,126,Comal
2023-12-01,124,Comal
2023-11-30,122,Comal
2023-11-29,122,Comal
2023-11-28,122,Comal
2023-11-27,120,Comal
2023-11-26,119,Comal
2023-11-25,118,Comal
2023-11-24,117,Comal
2023-11-23,115,Comal
2023-11-22,115,Comal
2023-11-21,115,Comal
2023-11-20,115,Comal
2023-11-19,116,Comal
2023-11-18,116,Comal
2023-11-17,115,Comal
2023-11-16,114,Comal
2023-11-15,115,Comal
2023-11-14,114,Comal
2023-11-13,113,Comal
2023-11-12,113,Comal
2023-11-11,112,Comal
2023-11-10,114,Comal
2023-11-09,116,Comal
2023-11-08,117,Comal
2023-11-07,117,Comal
2023-11-06,118,Comal
2023-11-05,119,Comal
2023-11-04,119,Comal
2023-11-03,120,Comal
2023-11-02,120,Comal
2023-11-01,121,Comal
2023-10-31,116,Comal
2023-10-30,112,Comal
2023-10-29,108,Comal
2023-10-28,104,Comal
2023-10-27,100,Comal
2023-10-26,96,Comal
2023-10-25,93,Comal
2023-10-24,91,Comal
2023-10-23,90,Comal
2023-10-22,88,Comal
2023-10-21,87,Comal
2023-10-20,86,Comal
2023-10-19,87,Comal
2023-10-18,88,Comal
2023-10-17,88,Comal
2023-10-16,89,Comal
2023-10-15,89,Comal
2023-10-14,89,Comal
2023-10-13,89,Comal
2023-10-12,89,Comal
2023-10-11,88,Comal
2023-10-10,87,Comal
2023-10-09,85,Comal
2023-10-08,82,Comal
2023-10-07,80,Comal
2023-10-06,78,Comal
2023-10-05,76,Comal
2023-10-04,75,Comal
2023-10-03,74,Comal
2023-10-02,74,Comal
2023-10-01,73,Comal
2023-09-30,72,Comal
2023-09-29,70,Comal
2023-09-28,72,Comal
2023-09-27,71,Comal
2023-09-26,71,Comal
2023-09-25,72,Comal
2023-09-24,72,Comal
2023-09-23,73,Comal
2023-09-22,73,Comal
2023-09-21,73,Comal
2023-09-20,73,Comal
2023-09-19,71,Comal
2023-09-18,70,Comal
2023-09-17,69,Comal
2023-09-16,67,Comal
2023-09-15,65,Comal
2023-09-14,66,Comal
2023-09-13,66,Comal
2023-09-12,67,Comal
2023-09-11,68,Comal
2023-09-10,68,Comal
2023-09-09,69,Comal
2023-09-08,69,Comal
2023-09-07,70,Comal
2023-09-06,71,Comal
2023-09-05,72,Comal
2023-09-04,73,Comal
2023-09-03,73,Comal
2023-09-02,71,Comal
2023-09-01,68,Comal
2023-08-31,68,Comal
2023-08-30,68,Comal
2023-08-29,69,Comal
2023-08-28,73,Comal
2023-08-27,73,Comal
2023-08-26,70,Comal
2023-08-25,66,Comal
2023-08-24,65,Comal
2023-08-23,63,Comal
2023-08-22,63,Comal
2023-08-21,60,Comal
2023-08-20,58,Comal
2023-08-19,57,Comal
2023-08-18,55,Comal
2023-08-17,56,Comal
2023-08-16,57,Comal
2023-08-15,58,Comal
2023-08-14,60,Comal
2023-08-13,61,Comal
2023-08-12,62,Comal
2023-08-11,64,Comal
2023-08-10,65,Comal
2023-08-09,66,Comal
2023-08-08,67,Comal
2023-08-07,68,Comal
2023-08-06,76,Comal
2023-08-05,74,Comal
2023-08-04,71,Comal
2023-08-03,71,Comal
2023-08-02,70,Comal
2023-08-01,71,Comal
2023-07-31,72,Comal
2023-07-30,73,Comal
2023-07-29,74,Comal
2023-07-28,74,Comal
2023-07-27,75,Comal
2023-07-26,76,Comal
2023-07-25,77,Comal
2023-07-24,79,Comal
2023-07-23,80,Comal
2023-07-22,81,Comal
2023-07-21,80,Comal
2023-07-20,81,Comal
2023-07-19,85,Comal
2023-07-18,87,Comal
2023-07-17,90,Comal
2023-07-16,91,Comal
2023-07-15,93,Comal
2023-07-14,95,Comal
2023-07-13,99,Comal
2023-07-12,101,Comal
2023-07-11,104,Comal
2023-07-10,106,Comal
2023-07-09,108,Comal
2023-07-08,111,Comal
2023-07-07,113,Comal
2023-07-06,114,Comal
2023-07-05,116,Comal
2023-07-04,117,Comal
2023-07-03,118,Comal
