date,val,site
2/1/2025,86,Comal
1/31/2025,631.51,J 17
1/31/2025,830.81,J 27
1/31/2025,85,San Marcos
1/31/2025,86,Comal
1/30/2025,631.19,J 17
1/30/2025,830.81,J 27
1/30/2025,85,San Marcos
1/30/2025,87,Comal
1/29/2025,631.08,J 17
1/29/2025,830.85,J 27
1/29/2025,85,San Marcos
1/29/2025,83,Comal
1/28/2025,630.59,J 17
1/28/2025,830.81,J 27
1/28/2025,85,San Marcos
1/28/2025,81,Comal
1/27/2025,630.28,J 17
1/27/2025,830.84,J 27
1/27/2025,84,San Marcos
1/27/2025,79,Comal
1/26/2025,630.62,J 17
1/26/2025,830.9,J 27
1/26/2025,85,San Marcos
1/26/2025,77,Comal
1/25/2025,630.43,J 17
1/25/2025,830.98,J 27
1/25/2025,85,San Marcos
1/25/2025,76,Comal
1/24/2025,629.85,J 17
1/24/2025,830.96,J 27
1/24/2025,84,San Marcos
1/24/2025,76,Comal
1/23/2025,629.33,J 17
1/23/2025,830.99,J 27
1/23/2025,83,San Marcos
1/23/2025,76,Comal
1/22/2025,629.34,J 17
1/22/2025,830.99,J 27
1/22/2025,83,San Marcos
1/22/2025,77,Comal
1/21/2025,629.34,J 17
1/21/2025,831.03,J 27
1/21/2025,83,San Marcos
1/21/2025,78,Comal
1/20/2025,629.84,J 17
1/20/2025,831.04,J 27
1/20/2025,83,San Marcos
1/20/2025,76,Comal
1/19/2025,630.1,J 17
1/19/2025,831.04,J 27
1/19/2025,83,San Marcos
1/19/2025,75,Comal
1/18/2025,630.25,J 17
1/18/2025,831.14,J 27
1/18/2025,84,San Marcos
1/18/2025,74,Comal
1/17/2025,629.78,J 17
1/17/2025,831.09,J 27
1/17/2025,84,San Marcos
1/17/2025,75,Comal
1/16/2025,629.5,J 17
1/16/2025,831.12,J 27
1/16/2025,84,San Marcos
1/16/2025,73,Comal
1/15/2025,629.67,J 17
1/15/2025,831.07,J 27
1/15/2025,84,San Marcos
1/15/2025,72,Comal
1/14/2025,629.73,J 17
1/14/2025,831.07,J 27
1/14/2025,84,San Marcos
1/14/2025,72,Comal
1/13/2025,629.74,J 17
1/13/2025,831.09,J 27
1/13/2025,84,San Marcos
1/13/2025,69,Comal
1/12/2025,630.04,J 17
1/12/2025,831.05,J 27
1/12/2025,83,San Marcos
1/12/2025,68,Comal
1/11/2025,629.63,J 17
1/11/2025,831.1,J 27
1/11/2025,83,San Marcos
1/11/2025,67,Comal
1/10/2025,628.86,J 17
1/10/2025,831.06,J 27
1/10/2025,83,San Marcos
1/10/2025,66,Comal
1/9/2025,627.87,J 17
1/9/2025,831.08,J 27
1/9/2025,82,San Marcos
1/9/2025,64,Comal
1/8/2025,627.21,J 17
1/8/2025,831,J 27
1/8/2025,82,San Marcos
1/8/2025,63,Comal
1/7/2025,626.69,J 17
1/7/2025,831.04,J 27
1/7/2025,81,San Marcos
1/7/2025,63,Comal
1/6/2025,627,J 17
1/6/2025,831.02,J 27
1/6/2025,81,San Marcos
1/6/2025,63,Comal
1/5/2025,627.56,J 17
1/5/2025,831.14,J 27
1/5/2025,81,San Marcos
1/5/2025,63,Comal
1/4/2025,627.36,J 17
1/4/2025,831.14,J 27
1/4/2025,82,San Marcos
1/4/2025,62,Comal
1/3/2025,626.97,J 17
1/3/2025,831.09,J 27
1/3/2025,82,San Marcos
1/3/2025,62,Comal
1/2/2025,627.11,J 17
1/2/2025,831.06,J 27
1/2/2025,81,San Marcos
1/2/2025,63,Comal
1/1/2025,626.97,J 17
1/1/2025,831.13,J 27
1/1/2025,81,San Marcos
1/1/2025,64,Comal
12/31/2024,627.22,J 17
12/31/2024,831.13,J 27
12/31/2024,81,San Marcos
12/31/2024,65,Comal
12/30/2024,627.78,J 17
12/30/2024,831.12,J 27
12/30/2024,82,San Marcos
12/30/2024,65,Comal
12/29/2024,627.76,J 17
12/29/2024,831.13,J 27
12/29/2024,82,San Marcos
12/29/2024,66,Comal
12/28/2024,627.74,J 17
12/28/2024,831.22,J 27
12/28/2024,83,San Marcos
12/28/2024,66,Comal
12/27/2024,627.6,J 17
12/27/2024,831.35,J 27
12/27/2024,83,San Marcos
12/27/2024,67,Comal
12/26/2024,627.96,J 17
12/26/2024,831.32,J 27
12/26/2024,84,San Marcos
12/26/2024,66,Comal
12/25/2024,627.91,J 17
12/25/2024,831.33,J 27
12/25/2024,84,San Marcos
12/25/2024,65,Comal
12/24/2024,627.28,J 17
12/24/2024,831.41,J 27
12/24/2024,84,San Marcos
12/24/2024,64,Comal
12/23/2024,627.66,J 17
12/23/2024,831.4,J 27
12/23/2024,84,San Marcos
12/23/2024,63,Comal
12/22/2024,627.7,J 17
12/22/2024,831.37,J 27
12/22/2024,84,San Marcos
12/22/2024,62,Comal
12/21/2024,627.4,J 17
12/21/2024,831.38,J 27
12/21/2024,84,San Marcos
12/21/2024,61,Comal
12/20/2024,627.17,J 17
12/20/2024,831.34,J 27
12/20/2024,84,San Marcos
12/20/2024,60,Comal
12/19/2024,626.82,J 17
12/19/2024,831.4,J 27
12/19/2024,84,San Marcos
12/19/2024,61,Comal
12/18/2024,626.98,J 17
12/18/2024,831.38,J 27
12/18/2024,85,San Marcos
12/18/2024,62,Comal
12/17/2024,627.01,J 17
12/17/2024,831.46,J 27
12/17/2024,85,San Marcos
12/17/2024,63,Comal
12/16/2024,627.19,J 17
12/16/2024,831.48,J 27
12/16/2024,85,San Marcos
12/16/2024,62,Comal
12/15/2024,627.65,J 17
12/15/2024,831.52,J 27
12/15/2024,85,San Marcos
12/15/2024,60,Comal
12/14/2024,627.02,J 17
12/14/2024,831.5,J 27
12/14/2024,85,San Marcos
12/14/2024,59,Comal
12/13/2024,626.73,J 17
12/13/2024,831.47,J 27
12/13/2024,84,San Marcos
12/13/2024,58,Comal
12/12/2024,626.54,J 17
12/12/2024,831.52,J 27
12/12/2024,84,San Marcos
12/12/2024,56,Comal
12/11/2024,626.6,J 17
12/11/2024,831.47,J 27
12/11/2024,84,San Marcos
12/11/2024,55,Comal
12/10/2024,626.21,J 17
12/10/2024,831.56,J 27
12/10/2024,84,San Marcos
12/10/2024,55,Comal
12/9/2024,626.1,J 17
12/9/2024,831.57,J 27
12/9/2024,84,San Marcos
12/9/2024,55,Comal
12/8/2024,626.61,J 17
12/8/2024,831.54,J 27
12/8/2024,84,San Marcos
12/8/2024,55,Comal
12/7/2024,626.21,J 17
12/7/2024,831.5,J 27
12/7/2024,83,San Marcos
12/7/2024,56,Comal
